temperature_moyenne,nb_lost_item
2.6875000000000004,5
2.6999999999999997,14
2.7,27
2.7125,36
2.7125000000000004,18
2.7249999999999996,22
2.725,25
2.7285714285714286,7
2.7374999999999994,5
2.7375,11
2.7375000000000003,40
2.742857142857143,39
2.7499999999999996,29
2.75,5
2.7500000000000004,2
2.7624999999999997,13
2.7625,104
2.7749999999999995,18
2.775,43
2.7750000000000004,13
2.787499999999999,5
2.7874999999999996,5
2.7875,20
2.7875000000000005,2
2.8,44
2.8000000000000003,7
2.8124999999999996,6
2.8125,63
2.8125000000000004,5
2.8166666666666664,3
2.8249999999999997,1
2.825,27
2.8285714285714287,23
2.8375,39
2.8499999999999996,8
2.85,7
2.8500000000000005,5
2.8625,36
2.8625000000000003,52
2.871428571428571,2
2.8749999999999996,3
2.875,36
2.8750000000000004,32
2.885714285714286,8
2.8874999999999997,4
2.8875,52
2.9,22
2.9000000000000004,4
2.900000000000001,11
2.9124999999999996,29
2.9125,36
2.9125000000000005,6
2.925,10
2.9250000000000003,8
2.9285714285714293,1
2.9374999999999996,10
2.9375,69
2.9499999999999993,1
2.9499999999999997,4
2.95,28
2.9500000000000006,2
2.9571428571428577,3
2.9625,33
2.9625000000000004,14
2.971428571428571,28
2.9749999999999996,25
2.975,11
2.9857142857142853,13
2.985714285714286,2
2.9875,68
2.9875000000000003,1
2.9999999999999996,3
3.0,5
3.0124999999999997,35
3.0125,39
3.0142857142857147,1
3.0249999999999995,17
3.025,40
3.0250000000000004,55
3.0374999999999996,2
3.0375,32
3.0375000000000005,5
3.042857142857143,17
3.05,33
3.0500000000000003,6
3.057142857142857,3
3.0624999999999996,4
3.0625,57
3.0625000000000004,21
3.0714285714285716,13
3.0749999999999997,22
3.075,11
3.0857142857142854,2
3.0874999999999995,1
3.0875,58
3.0875000000000004,16
3.0999999999999996,29
3.1,32
3.1000000000000005,2
3.1125,23
3.1125000000000003,14
3.1249999999999996,16
3.125,44
3.1285714285714286,21
3.1374999999999997,21
3.1375,27
3.15,23
3.1500000000000004,40
3.1624999999999996,18
3.1625,64
3.1625000000000005,13
3.1666666666666665,6
3.1714285714285713,2
3.1714285714285717,2
3.1749999999999994,13
3.175,31
3.1750000000000003,23
3.185714285714286,2
3.1874999999999996,10
3.1875,44
3.1999999999999997,48
3.2,29
3.2124999999999995,2
3.2125,17
3.2125000000000004,6
3.2142857142857144,2
3.214285714285715,2
3.2249999999999996,19
3.225,23
3.2285714285714286,5
3.2374999999999994,1
3.2375,50
3.2375000000000003,26
3.2499999999999996,8
3.25,47
3.2500000000000004,7
3.2624999999999993,12
3.2624999999999997,9
3.2625,92
3.2625000000000006,9
3.2749999999999995,6
3.275,79
3.2750000000000004,33
3.2874999999999996,31
3.2875,19
3.2875000000000005,16
3.2999999999999994,19
3.3,41
3.3000000000000003,41
3.3124999999999996,19
3.3125,70
3.3125000000000004,1
3.314285714285714,23
3.3249999999999997,22
3.325,24
3.3374999999999995,4
3.3375,39
3.3375000000000004,1
3.3499999999999996,17
3.35,39
3.357142857142857,4
3.3571428571428577,3
3.3625,28
3.3625000000000007,1
3.3714285714285714,12
3.3749999999999996,10
3.375,38
3.3750000000000004,9
3.3874999999999997,15
3.3875,18
3.3875000000000006,1
3.3999999999999995,9
3.4,70
3.4000000000000004,11
3.400000000000001,1
3.4124999999999996,12
3.4125,32
3.4125000000000005,2
3.414285714285714,1
3.4249999999999994,4
3.425,19
3.4250000000000003,3
3.4285714285714284,16
3.4374999999999996,9
3.4375,23
3.4499999999999997,22
3.45,38
3.4625,17
3.4625000000000004,50
3.4749999999999996,14
3.475,35
3.4750000000000005,13
3.483333333333333,1
3.4857142857142853,8
3.485714285714286,1
3.4875,38
3.4875000000000003,15
3.4875000000000007,20
3.4999999999999996,13
3.5,68
3.5000000000000004,16
3.5124999999999993,1
3.5124999999999997,26
3.5125,36
3.5200000000000005,8
3.525,30
3.5250000000000004,20
3.528571428571428,6
3.5374999999999996,24
3.5375,30
3.5375000000000005,7
3.542857142857143,5
3.5499999999999994,1
3.55,46
3.5500000000000003,48
3.5624999999999996,8
3.5625,114
3.5625000000000004,11
3.5749999999999997,30
3.575,45
3.5750000000000006,7
3.5833333333333335,5
3.5857142857142863,7
